entrées (millions),France,100%,majoritaires,minoritaires,Etats-Unis,Allemagne,Belgique,Danemark,Espagne,Grande-Bretagne,Grèce,Irlande,Italie,Pays-Bas,Pologne,République Tchèque,Russie,Suède,Suisse,Australie,Brésil,Canada,Chine,Corée du Sud,Egypte,Hong Kong,Inde,Iran,Japon,Mexique,Autres nationalités,total
1996,39.9,25.9,9.3,4.7,69.0,0.4,,,0.3,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,1.7,116.7
1997,44.3,38.2,4.5,1.6,68.4,0.1,0.0,,0.1,13.1,,0.3,0.1,0.2,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,3.6,130.3
1998,41.4,36.7,3.1,1.6,102.8,0.2,0.0,0.1,0.1,4.9,0.0,0.3,3.5,0.0,,,0.0,,0.0,0.0,0.0,0.1,,,,0.1,0.0,0.1,0.2,,0.6,154.4
1999,45.7,24.4,17.9,3.4,76.4,0.8,0.0,0.1,0.1,12.7,0.0,0.1,0.2,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.1,,,,,0.0,0.1,0.0,1.8,138.3
2000,40.7,32.1,7.0,1.7,96.4,1.0,0.0,0.0,0.1,6.0,,0.4,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,,4.2,149.5
2001,72.6,54.9,15.7,1.9,78.5,1.5,0.0,0.3,0.7,6.8,0.0,0.0,0.2,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,,,,,0.0,0.1,0.0,7.1,168.5
2002,57.6,42.7,12.1,2.7,85.4,1.5,0.0,,2.4,8.6,,0.0,0.3,0.0,,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,0.0,0.0,0.1,0.0,8.5,164.5
2003,56.0,38.0,14.7,3.2,85.6,1.6,0.0,0.1,0.5,5.1,,,0.5,0.0,,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.1,0.0,9.3,159.0
2004,70.8,34.0,35.7,1.1,87.0,1.6,0.1,0.1,1.2,13.8,,,0.2,,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,4.8,179.7
2005,57.3,36.3,17.9,3.0,73.9,1.4,0.0,0.1,0.3,23.3,,0.0,0.6,,,,0.2,,0.0,0.0,0.0,0.1,0.6,,,0.0,0.0,0.0,0.5,0.0,1.2,159.5
2006,79.5,57.1,17.9,4.5,77.0,0.7,0.1,0.1,3.0,9.5,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.5,0.2,0.1,0.0,0.0,0.0,0.7,0.0,1.1,173.7
2007,56.0,38.9,13.1,4.0,81.0,2.1,0.0,0.0,0.2,16.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.3,0.2,0.0,0.0,0.0,0.0,0.4,0.1,1.4,159.3
2008,80.4,60.0,17.9,2.5,76.3,0.9,0.3,0.0,2.9,9.1,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.9,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,1.4,174.3
2009,68.3,47.3,18.1,2.9,95.3,1.3,0.0,0.0,2.0,12.7,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.3,0.0,1.7,0.1,0.1,0.2,0.1,0.0,0.5,0.0,0.2,1.4,0.0,0.7,186.4
2010,68.4,51.3,12.5,4.5,85.5,0.3,1.3,0.1,2.4,23.2,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.4,0.0,0.6,0.0,0.1,0.0,0.4,0.1,0.0,0.0,0.0,0.1,0.1,0.5,184.4
2011,82.7,57.9,19.2,5.6,93.7,1.6,0.0,0.1,2.7,15.0,0.0,0.1,0.3,0.0,0.1,0.0,0.1,0.1,0.0,1.2,0.0,0.0,0.3,0.1,0.0,0.0,0.0,1.0,1.1,0.0,0.6,200.7
2012,73.1,49.8,18.4,5.0,79.5,0.4,0.2,0.3,1.0,19.7,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.8,0.0,0.1,0.2,0.0,0.0,0.1,0.7,0.1,3.6,181.2
2013,58.9,39.7,16.1,3.1,96.9,1.6,0.6,0.5,1.4,7.5,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,1.1,0.0,1.7,0.4,0.4,0.0,0.0,0.0,0.0,0.5,0.0,3.3,175.2
2014,84.8,59.3,21.8,3.8,86.2,1.6,0.1,0.2,0.3,6.1,0.0,0.0,0.2,0.0,0.5,0.0,0.2,0.2,0.1,0.2,0.2,1.1,0.3,0.1,0.0,0.0,0.1,0.0,1.0,0.1,4.7,188.2
2015,60.2,41.0,14.5,4.7,98.6,2.3,0.0,0.1,0.6,14.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,2.4,0.2,0.2,0.0,0.1,0.0,0.0,0.1,0.6,0.8,0.0,1.3,181.8
2016,67.9,43.2,17.8,6.9,104.2,2.1,0.5,0.3,1.3,12.5,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.7,0.0,0.0,0.3,0.1,0.3,0.0,1.0,192.2
2017,70.9,56.6,12.0,2.3,92.8,0.3,0.8,0.1,0.8,18.2,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.5,0.0,1.8,0.0,0.1,0.0,1.0,0.0,0.0,0.1,0.1,0.6,0.1,1.2,189.7
2018,70.0,58.6,7.0,4.4,77.9,1.5,0.4,0.5,1.1,19.3,0.0,0.1,0.3,0.0,0.0,0.0,0.3,0.1,0.1,0.2,0.0,0.2,0.4,0.3,0.0,0.0,0.1,0.2,1.3,0.0,2.0,176.2
2019,65.5,47.6,14.7,3.3,107.3,1.1,1.1,0.1,1.3,8.5,0.0,0.3,0.2,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.1,0.9,0.2,1.8,0.0,0.0,0.2,0.0,1.0,0.0,1.3,191.5
