,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Retour au menu ""Films en salles""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Films en première exclusivité en salles selon la nationalité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nombre de films,France,100%,majoritaires,minoritaires,Etats-Unis,Allemagne,Belgique,Danemark,Espagne,Grande-Bretagne,Grèce,Irlande,Italie,Pays-Bas,Pologne,République Tchèque,Russie,Suède,Suisse,Australie,Brésil,Canada,Chine,Corée du Sud,Egypte,Hong Kong,Inde,Iran,Japon,Mexique,Autres nationalités,total
1996,155,86,34,35,141,6,,,6,21,1,2,5,2,2,,2,1,3,2,,2,1,1,1,2,2,4,13,3,21,399
1997,175,96,44,35,141,7,1,,6,27,,1,13,4,1,,1,,1,2,1,4,3,,,2,2,7,7,1,14,421
1998,174,95,40,39,162,9,1,2,11,39,2,7,5,4,,,1,,1,4,2,5,,,,3,1,1,8,,13,455
1999,201,99,60,42,182,9,5,2,11,30,1,2,14,5,1,1,1,,3,,,5,3,,,,,2,5,1,50,534
2000,210,142,35,33,185,7,2,2,6,39,,1,9,3,1,2,1,6,1,1,2,4,5,,1,1,1,5,16,,21,532
2001,205,146,38,21,157,11,2,2,13,33,1,1,4,,,1,1,3,1,3,1,5,6,,,,,4,13,2,35,504
2002,208,143,34,31,147,9,1,,13,19,,1,15,1,,,3,1,2,5,2,2,8,,,,2,6,9,1,32,487
2003,217,126,56,35,155,8,1,5,10,28,,,10,1,,,2,2,3,3,2,4,7,,,,1,1,8,1,40,509
2004,238,135,73,30,169,11,2,3,15,27,,,9,,,2,1,1,5,2,2,3,4,2,,1,2,4,11,2,43,559
2005,237,141,53,43,149,15,1,6,10,37,,2,13,,,,3,,3,1,4,4,5,,,1,2,4,16,2,35,550
2006,242,141,56,45,174,12,2,9,12,35,0,1,6,4,0,0,0,0,3,3,3,6,12,2,1,0,6,3,15,1,37,589
2007,261,171,37,53,174,13,2,2,9,31,0,1,3,1,0,1,1,0,3,3,3,6,7,6,0,0,0,3,10,3,30,573
2008,240,155,43,42,155,16,5,1,13,26,0,2,11,0,1,1,4,1,3,4,4,4,8,6,0,0,0,1,7,1,41,555
2009,268,154,64,50,163,10,1,2,9,33,2,2,7,0,1,1,1,5,5,6,3,4,4,4,0,2,1,3,12,2,34,585
2010,273,166,53,54,142,13,4,4,18,34,1,3,14,0,2,0,6,4,3,2,2,3,2,7,1,0,1,1,7,6,26,579
2011,283,172,54,57,139,15,3,3,13,32,1,1,11,0,3,0,3,5,4,6,3,1,4,5,1,0,2,6,6,3,35,588
2012,299,179,63,57,149,8,6,2,11,34,0,2,7,1,3,1,5,1,5,2,5,9,4,3,1,0,7,2,11,2,34,614
2013,330,197,76,57,150,18,6,5,9,25,4,2,13,1,0,1,1,2,4,2,2,9,4,5,0,0,8,0,10,3,40,654
2014,344,219,64,61,151,14,3,3,6,28,0,1,9,1,4,0,3,5,5,5,8,5,4,5,0,0,11,1,7,1,39,663
2015,321,206,54,61,140,16,4,5,8,40,0,1,13,3,0,3,5,2,6,2,5,7,5,4,0,0,6,2,10,0,44,652
2016,364,208,81,75,150,12,8,10,11,38,1,2,8,1,0,1,3,2,4,2,7,12,5,5,1,0,17,1,5,1,45,716
2017,361,252,60,49,124,12,8,5,9,37,1,3,7,2,3,1,2,3,5,3,1,9,1,6,1,1,12,6,12,6,52,693
2018,355,234,53,68,127,13,4,6,10,40,1,1,15,2,1,0,4,3,7,2,1,5,5,9,1,0,14,7,12,1,37,683
2019,391,270,56,65,131,17,3,1,8,37,0,4,8,2,1,0,3,6,3,1,8,12,4,3,1,0,42,1,19,4,36,746
2020,195,131,33,31,55,8,2,5,4,12,1,1,4,1,3,0,1,0,3,4,1,4,6,6,0,0,12,0,7,2,28,365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrées (millions),France,100%,majoritaires,minoritaires,Etats-Unis,Allemagne,Belgique,Danemark,Espagne,Grande-Bretagne,Grèce,Irlande,Italie,Pays-Bas,Pologne,République Tchèque,Russie,Suède,Suisse,Australie,Brésil,Canada,Chine,Corée du Sud,Egypte,Hong Kong,Inde,Iran,Japon,Mexique,Autres nationalités,total
1996,39.9,25.9,9.3,4.7,69.0,0.4,,,0.3,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,1.7,116.7
1997,44.3,38.2,4.5,1.6,68.4,0.1,0.0,,0.1,13.1,,0.3,0.1,0.2,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,3.6,130.3
1998,41.4,36.7,3.1,1.6,102.8,0.2,0.0,0.1,0.1,4.9,0.0,0.3,3.5,0.0,,,0.0,,0.0,0.0,0.0,0.1,,,,0.1,0.0,0.1,0.2,,0.6,154.4
1999,45.7,24.4,17.9,3.4,76.4,0.8,0.0,0.1,0.1,12.7,0.0,0.1,0.2,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.1,,,,,0.0,0.1,0.0,1.8,138.3
2000,40.7,32.1,7.0,1.7,96.4,1.0,0.0,0.0,0.1,6.0,,0.4,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,,4.2,149.5
2001,72.6,54.9,15.7,1.9,78.5,1.5,0.0,0.3,0.7,6.8,0.0,0.0,0.2,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,,,,,0.0,0.1,0.0,7.1,168.5
2002,57.6,42.7,12.1,2.7,85.4,1.5,0.0,,2.4,8.6,,0.0,0.3,0.0,,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,0.0,0.0,0.1,0.0,8.5,164.5
2003,56.0,38.0,14.7,3.2,85.6,1.6,0.0,0.1,0.5,5.1,,,0.5,0.0,,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.1,0.0,9.3,159.0
2004,70.8,34.0,35.7,1.1,87.0,1.6,0.1,0.1,1.2,13.8,,,0.2,,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,4.8,179.7
2005,57.3,36.3,17.9,3.0,73.9,1.4,0.0,0.1,0.3,23.3,,0.0,0.6,,,,0.2,,0.0,0.0,0.0,0.1,0.6,,,0.0,0.0,0.0,0.5,0.0,1.2,159.5
2006,79.5,57.1,17.9,4.5,77.0,0.7,0.1,0.1,3.0,9.5,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.5,0.2,0.1,0.0,0.0,0.0,0.7,0.0,1.1,173.7
2007,56.0,38.9,13.1,4.0,81.0,2.1,0.0,0.0,0.2,16.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.3,0.2,0.0,0.0,0.0,0.0,0.4,0.1,1.4,159.3
2008,80.4,60.0,17.9,2.5,76.3,0.9,0.3,0.0,2.9,9.1,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.9,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,1.4,174.3
2009,68.3,47.3,18.1,2.9,95.3,1.3,0.0,0.0,2.0,12.7,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.3,0.0,1.7,0.1,0.1,0.2,0.1,0.0,0.5,0.0,0.2,1.4,0.0,0.7,186.4
2010,68.4,51.3,12.5,4.5,85.5,0.3,1.3,0.1,2.4,23.2,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.4,0.0,0.6,0.0,0.1,0.0,0.4,0.1,0.0,0.0,0.0,0.1,0.1,0.5,184.4
2011,82.7,57.9,19.2,5.6,93.7,1.6,0.0,0.1,2.7,15.0,0.0,0.1,0.3,0.0,0.1,0.0,0.1,0.1,0.0,1.2,0.0,0.0,0.3,0.1,0.0,0.0,0.0,1.0,1.1,0.0,0.6,200.7
2012,73.1,49.8,18.4,5.0,79.5,0.4,0.2,0.3,1.0,19.7,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.8,0.0,0.1,0.2,0.0,0.0,0.1,0.7,0.1,3.6,181.2
2013,58.9,39.7,16.1,3.1,96.9,1.6,0.6,0.5,1.4,7.5,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,1.1,0.0,1.7,0.4,0.4,0.0,0.0,0.0,0.0,0.5,0.0,3.3,175.2
2014,84.8,59.3,21.8,3.8,86.2,1.6,0.1,0.2,0.3,6.1,0.0,0.0,0.2,0.0,0.5,0.0,0.2,0.2,0.1,0.2,0.2,1.1,0.3,0.1,0.0,0.0,0.1,0.0,1.0,0.1,4.7,188.2
2015,60.2,41.0,14.5,4.7,98.6,2.3,0.0,0.1,0.6,14.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,2.4,0.2,0.2,0.0,0.1,0.0,0.0,0.1,0.6,0.8,0.0,1.3,181.8
2016,67.9,43.2,17.8,6.9,104.2,2.1,0.5,0.3,1.3,12.5,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.7,0.0,0.0,0.3,0.1,0.3,0.0,1.0,192.2
2017,70.9,56.6,12.0,2.3,92.8,0.3,0.8,0.1,0.8,18.2,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.5,0.0,1.8,0.0,0.1,0.0,1.0,0.0,0.0,0.1,0.1,0.6,0.1,1.2,189.7
2018,70.0,58.6,7.0,4.4,77.9,1.5,0.4,0.5,1.1,19.3,0.0,0.1,0.3,0.0,0.0,0.0,0.3,0.1,0.1,0.2,0.0,0.2,0.4,0.3,0.0,0.0,0.1,0.2,1.3,0.0,2.0,176.2
2019,65.5,47.6,14.7,3.3,107.3,1.1,1.1,0.1,1.3,8.5,0.0,0.3,0.2,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.1,0.9,0.2,1.8,0.0,0.0,0.2,0.0,1.0,0.0,1.3,191.5
2020,24.9,17.4,6.1,1.5,20.4,0.3,0.0,0.6,0.2,3.5,0.0,0.0,0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.2,0.0,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.3,52.2
*résultats enregistrés lors de leur année de sortie en salles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recettes guichet (M€),France,100%,majoritaires,minoritaires,Etats-Unis,Allemagne,Belgique,Danemark,Espagne,Grande-Bretagne,Grèce,Irlande,Italie,Pays-Bas,Pologne,République Tchèque,Russie,Suède,Suisse,Australie,Brésil,Canada,Chine,Corée du Sud,Egypte,Hong Kong,Inde,Iran,Japon,Mexique,Autres nationalités,total
