,,,,
"Retour au menu ""Films en salles""",,,,
,,,,
,,,,
Performance des films en première exclusivité en salles,,,,
,,,,
entrées (millions),top 10,top 20,top 30,top 100
1996,37.7,55.8,69.2,103.9
1997,43.2,64.2,79.1,117.7
1998,67.7,90.2,103.1,141.3
1999,47.2,65.6,78.0,121.0
2000,49.7,72.1,87.7,129.3
2001,51.6,78.7,98.1,146.9
2002,58.6,83.8,98.3,143.7
2003,46.4,68.6,82.9,133.0
2004,50.5,74.6,91.1,149.6
2005,41.8,63.9,79.5,132.3
2006,50.2,73.1,88.0,140.4
2007,49.3,68.3,82.3,126.8
2008,55.1,75.1,89.3,141.8
2009,49.4,75.6,93.5,152.9
2010,44.5,73.9,93.6,151.1
2011,57.6,82.5,99.7,162.4
2012,46.9,72.8,91.0,148.0
2013,37.8,60.3,78.2,136.7
2014,46.9,71.7,90.2,149.7
2015,49.3,76.5,95.3,148.1
2016,40.2,67.6,88.0,150.6
2017,41.8,70.2,90.4,151.1
2018,44.8,71.4,88.9,138.8
2019,54.6,79.0,97.6,157.3
2020,15.9,24.6,30.7,47.0
*résultats enregistrés lors de leur année de sortie en salles.,,,,
